01_PortLocation,02_PortName,03_PortAuth,04_PortAddress,05_PortPhone,06_PortFax,07_Port800Num,08_PortEmail,09_PortWeb,10_PortLat,11_PortLong,12_PortLOCODE,13_PortType,14_PortSize,LAT,LONGS
Xinghua,Xinghua Harbour,Xinghua Harbour Administration Department,"32 Dong-gong RoadXiaonanmenXinghua, Jiangsu 225700China",NAN,NAN,NAN,NAN,NAN,"32° 55' 56"" N","119° 51' 4"" E",NAN,River Port,Small,32.93222222222222,119.85111111111111
Xintangzhen,Port of Xintangzhen ,NAN,"Xintangzhen, GuangzhouChina",NAN,NAN,NAN,NAN,NAN,"27° 13' 53"" N","112° 52' 9"" E",NAN,River Port,Small,27.231388888888887,112.86916666666666
Xiuyu,Port of Xiuyu,Xiuyu Port Authority,"Administration OfficeXiuyu TownPutian City, Fujian 351158China",86 594 569 1231,86 594 569 7630,NAN,NAN,NAN,"25° 12' 17"" N","118° 58' 40"" E",CNXIU,Seaport,Small,25.204722222222223,118.97777777777777
Xuzhou,Xuzhou Harbour,Xuzhou Harbour Administration Bureau,"MengjiagouNorthern SuburbXuzhou, Jiangsu 221007China",NAN,NAN,NAN,NAN,NAN,"34° 19' 46"" N","117° 14' 13"" E",CNXUZ,River Port,Small,34.32944444444445,117.23694444444445
Yancheng,Yancheng Harbour,Yancheng Harbour Administration Department,"195 Jianjun Zhong RoadYancheng, Jiangsu 224001China",NAN,NAN,NAN,NAN,NAN,"33° 22' 57"" N","120° 6' 29"" E",CNYCG,River Port,Small,33.3825,120.10805555555555
Yangjiang,Yangjiang Harbour,Yangjiang Harbour Administration Co,"ShijuetouXingang RoadYangjiang, Guangdong 529500China",NAN,NAN,NAN,NAN,NAN,"21° 50' 3"" N","111° 56' 58"" E",NAN,River Port,Small,21.834166666666665,111.94944444444445
Yangpu,Port of Yangpu,SDIC Yangpu Ltd,"Xinpu BuildingYangpu Economic Dev ZoneYangpu, HainanChina",86 890 882 2292,86 890 882 2292,NAN,NAN,NAN,"19° 43' 45"" N","109° 11' 56"" E",CNYPG,Seaport,Small,19.729166666666664,109.19888888888889
Yangzhou,Port of Yangzhou,NAN,YangzhouChina,NAN,NAN,NAN,NAN,www.yangzhou.gov.cn,"32° 23' 1"" N","119° 28' 55"" E",CNYZH,Seaport,Small,32.38361111111111,119.48194444444445
Yibin,Port of Yibin,Yibin Bureau of Communication,"Yifu StreetYibin, Sichuan 644000China",NAN,NAN,NAN,NAN,NAN,"28° 46' 11"" N","104° 37' 48"" E",NAN,River Port,Small,28.76972222222222,104.63
Yichang,Port of Yichang,Yichang Harbour Administration Bureau,"282 Yanjiang RoadYichang, Hubei 443003China",NAN,NAN,NAN,NAN,NAN,"30° 42' 43"" N","111° 16' 59"" E",CNYIC,River Port,Small,30.711944444444445,111.28305555555555
Yixing,Port of Yixing,Yixing Harbour Administration Department,"70 Jiefang-dong RoadYicheng TownYixing, Jiangsu 214200China",NAN,NAN,NAN,NAN,NAN,"31° 22' 41"" N","119° 46' 29"" E",CNYIX,River Port,Small,31.378055555555555,119.77472222222222
Yiyang,Port of Yiyang,Yiyang Harbour Administration Department,"QiaonanYiyang, Hunan 413000China",NAN,NAN,NAN,NAN,NAN,"28° 35' 27"" N","112° 20' 26"" E",NAN,River Port,Small,28.590833333333332,112.34055555555555
Yuanjiang,Port of Yuanjiang,Yuanjiang Harbour and Shipping Administration Department,"Qionghu TownYuanjiang, Hunan 413100China",NAN,NAN,NAN,NAN,NAN,"28° 50' 17"" N","112° 23' 17"" E",NAN,Seaport,Small,28.838055555555556,112.38805555555557
Yueyang,Port of Yueyang,Yueyang Harbour and Shipping Administration,"NanyuepoYueyang, Hunan 414000China",NAN,NAN,NAN,NAN,NAN,"29° 23' 54"" N","113° 6' 8"" E",CNYUY,Seaport,Small,29.398333333333333,113.10222222222221
Zhangjiabu,Port of Zhangjiabu,Zhangjiabu Port Administration Department,"Bukou TownWendeng, Shandong 264406China",NAN,NAN,NAN,NAN,NAN,"37° 0' 29"" N","122° 10' 10"" E",NAN,Harbor,Small,37.00805555555556,122.16944444444445
Zhangjiagang,Port of Zhangjiagang,Zhangjiagang Port Authority,"Port Administration OfficeXiangshan RoadZhangjiagang, Jiangsu 215633China",86 512 5833 1701,86 512 5833 2473,NAN,NAN,NAN,"31° 58' 35"" N","120° 25' 29"" E",CNZJG,Seaport,Medium,31.976388888888888,120.42472222222223
Zhangzhou,Port of Zhangzhou,Zhangzhou Port Authority,"Zhangzhou Gangiun Bldg95 Yan'an Bei RoadZhangzhou, Fujian 363000China",86 596 203 3980,NAN,NAN,NAN,NAN,"24° 39' 17"" N","118° 10' 52"" E",CNZZU,Seaport,Small,24.654722222222222,118.18111111111112
Zhaoqing,Port of Zhaoqing,Zhaoqing Harbour Administration Bureau,"2 Jiangbin Xi RoadZhaoqing, Guangdong 526020China",NAN,NAN,NAN,NAN,NAN,"23° 2' 38"" N","112° 27' 31"" E",CNZQG,River Port,Small,23.04388888888889,112.45861111111111
Zhapu,Port of Zhapu,Zhapu Port Authority,"Huhang RoadZhapuPinghu, Zhejiang 314201China",86 573 552 2035,86 573 552 2035,NAN,NAN,NAN,"30° 35' 11"" N","121° 5' 35"" E",CNZAP,Seaport,Small,30.586388888888887,121.09305555555555
Zhenjiang,Port of Zhenjiang,Zhenjiang Port Authority,"Administration Office19 Changjiang RoadZhenjiang, Jiangsu 212001China",86 511 527 4892,86 511 257 7837,NAN,NAN,NAN,"32° 13' 14"" N","119° 25' 43"" E",CNZHE,River Port,Small,32.220555555555556,119.42861111111111
Zhicheng,Port of Zhicheng,Zhicheng Port Office,"Port Administration OfficeZhicheng CountyZhicheng, Hubei 443311China",86 727 571100,NAN,NAN,NAN,NAN,"30° 16' 24"" N","111° 32' 11"" E",NAN,River Port,Small,30.273333333333333,111.5363888888889
Zhongshan,Port of Zhongshan,Zhongshan Port Authority,"Yanjiang RoadHuoju Dev DistrictZhongshan, Guangdong 510700China",86 760 559 8777,86 760 559 6108,NAN,NAN,NAN,"22° 30' 10"" N","113° 20' 59"" E",NAN,River Port,Small,22.502777777777776,113.34972222222221
Zhongxiang,Port of Zhongxiang,Zhongxiang Lihekou Shipping Administration Office,"Linkuang TownZhongxiang, Hubei 431915China",NAN,NAN,NAN,NAN,NAN,"31° 11' 48"" N","112° 34' 3"" E",NAN,River Port,Small,31.196666666666665,112.5675
Zhoupu,Port of Zhoupu,Zhoupu Shipping Administration Office,"Zhoupu VillageXihu DistrictHangzhou, Zhejiang 310024China",NAN,NAN,NAN,NAN,NAN,"30° 16' 38"" N","120° 14' 19"" E",NAN,River Port,Small,30.27722222222222,120.23861111111111
Zhoushan,Port of Zhoushan,Zhoushan Harbour Admin,"Zhoushan, Zhejiang 316000China",86 580 206 7222,86 580 206 7224,NAN,NAN,www.zsport.com.cn,"30° 0' 12"" N","122° 6' 15"" E",CNZOS,Seaport,Small,30.003333333333334,122.10416666666666
Zhuhai,Port of Zhuhai,Zhuhai Port Authority,"Administration OfficeNanshui Yongshu WanZhuhai, Guangdong 519000China",86-0756-7268118,86-756-7268789,NAN,zhhiz@zhhiz.cn,www.zhuhai-port.com,"22° 14' 23"" N","113° 35' 5"" E",CNZUH,Seaport,Small,22.239722222222223,113.58472222222221
Zhuzhou,Port of Zhuzhou,Zhuzhou Harbour Administration Department,"30 Fangzhi Xi RoadZhuzhou, Hunan 412000China",NAN,NAN,NAN,NAN,NAN,"27° 49' 27"" N","113° 8' 4"" E",CNZUU,River Port,Small,27.824166666666667,113.13444444444445
Christmas Island,Port of Christmas Island,Christmas Island Ports,PO Box 445Christmas Island 6798Christmas Island,8 9164 8434,8 9164 8435,NAN,westernci@pulau.cx,NAN,"10° 25' 30"" S","105° 40' 12"" E",CXXCH,Seaport,Small,-10.424999999999999,105.67
Cienaga,Port of Cienaga,NAN,CienagaColombia,NAN,NAN,NAN,NAN,NAN,"11° 6' 30"" N","74° 13' 45"" W",COCIE,"Pier, Jetty or Wharf",Small,11.108333333333333,-74.22916666666667
Covenas,Covenas Offshore Terminal,NAN,CovenasColombia,NAN,NAN,NAN,NAN,www.navescolombia.com,"9° 30' 0"" N","75° 43' 59"" W",COCVE,Off-Shore Terminal,Very Small,9.5,-75.73305555555555
Mamonal,Port of Mamonal,NAN,MamonalColombia,NAN,NAN,NAN,NAN,NAN,"10° 19' 16"" N","75° 30' 27"" W",NAN,Seaport,Medium,10.321111111111112,-75.5075
Muelles El Bosque,Terminal Maritimo Muelles El Bosque,NAN,"El Bosque, Av.Pedro Velez No. 48-14Cartagena de IndiasColombia",675 662 5042,675 662 7553,NAN,comercial@elbosque.com,www.elbosque.com,"10° 23' 53"" N","75° 31' 38"" W",NAN,Port Terminal,Small,10.398055555555555,-75.52722222222222
Pozos Colorados,Port of Pozos Colorados,NAN,Pozos ColoradosColombia,NAN,NAN,NAN,NAN,NAN,"11° 8' 21"" N","74° 13' 50"" W",COPOC,Off-Shore Terminal,Very Small,11.139166666666666,-74.23055555555555
Puerto Bolivar,Puerto Bolivar,NAN,Puerto BolivarColombia,NAN,NAN,NAN,NAN,www.navescolombia.com,"12° 15' 10"" N","71° 57' 38"" W",COPBO,Seaport,Small,12.252777777777778,-71.96055555555556
San Andres Island,San Andres Island Harbor,NAN,San Andres IslandColombia,NAN,NAN,NAN,NAN,NAN,"12° 34' 40"" N","81° 41' 49"" W",COADZ,Harbor,Small,12.577777777777778,-81.69694444444445
Tumaco,Port of Tumaco,NAN,TumacoColombia,57 27 272484,57 272425,NAN,NAN,www.navescolombia.com,"1° 48' 31"" N","78° 46' 12"" W",COTCO,Harbor,Very Small,1.8086111111111112,-78.77
Turbo,Port of Turbo,Capitania de Turbo,TurboColombia,NAN,NAN,NAN,NAN,www.navescolombia.com,"8° 5' 16"" N","76° 44' 3"" W",COTRB,Seaport,Small,8.087777777777779,-76.73416666666667
Fomboni,Port of Fomboni,NAN,FomboniComoros,NAN,NAN,NAN,NAN,NAN,"12° 17' 23"" S","43° 45' 19"" E",NAN,"Pier, Jetty or Wharf",Very Small,-12.289722222222222,43.75527777777778
Moroni,Port of Moroni,NAN,MoroniComoros,NAN,NAN,NAN,NAN,NAN,"11° 42' 5"" S","43° 14' 56"" E",NAN,Harbor,Small,-11.701388888888888,43.24888888888889
Mutsamudu,Port of Mutsamudu,NAN,MutsamuduComoros,NAN,NAN,NAN,NAN,NAN,"12° 10' 2"" S","44° 23' 31"" E",NAN,Harbor,Small,-12.167222222222222,44.39194444444444
Banana,Port of Banana,Banana Port Authority,"Office National des Transports (ONATRA)Boulevard du 30 JuinKinshasaCongo, Democratic Republic of",243 1 522 4761,243 1 522 2892,NAN,NAN,NAN,"6° 0' 20"" S","12° 24' 10"" E",CDBNW,"Pier, Jetty or Wharf",Small,-6.0055555555555555,12.402777777777779
Boma,Port of Boma,Boma Port Authority,"Office National des Transports (ONATRA)Boulevard du 30 JuinKinshasaCongo, Democratic Republic of",NAN,NAN,NAN,NAN,NAN,"5° 51' 31"" S","13° 3' 9"" E",CDBOA,Seaport,Small,-5.85861111111111,13.0525
Matadi,Port of Matadi,Port Authority of Matadi,"Office National des Transports (ONATRA)Boulevard du 30 JuinKinshasaCongo, Democratic Republic of",243 1 522 4761,243 1 522 2892,NAN,NAN,NAN,"5° 49' 9"" S","13° 27' 11"" E",CDMAT,River Port,Small,-5.819166666666667,13.453055555555554
Djeno,Djeno Terminal,Total,"BP 761Congo, Republic of",242 946881,242 946881,NAN,NAN,www.total.com,"4° 55' 9"" S","11° 55' 44"" E",NAN,"Pier, Jetty or Wharf",Very Small,-4.919166666666667,11.928888888888888
Madingo-Kayes,Port of Madingo-Kayes,NAN,"Madingo-KayesCongo, Republic of",NAN,NAN,NAN,NAN,NAN,"4° 28' 27"" S","11° 42' 59"" E",NAN,"Pier, Jetty or Wharf",Very Small,-4.474166666666667,11.716388888888888
Pointe Noire,Port of Pointe Noire,Port Authority of Pointe Noire,"BP 711Pointe NoireCongo, Republic of",242 940052,242 942042,NAN,NAN,NAN,"4° 46' 55"" S","11° 49' 43"" E",CGPNR,Seaport,Small,-4.781944444444444,11.82861111111111
Pointe-Noire,N'Kossa Terminal,NAN,"Congo, Republic of",NAN,NAN,NAN,NAN,NAN,"5° 16' 0"" S","11° 34' 0"" E",CGNKO,Off-Shore Terminal,Very Small,-5.266666666666667,11.566666666666666
Avatiu,Port of Avatiu,NAN,AvatiuCook Islands,NAN,NAN,NAN,NAN,NAN,"21° 12' 13"" S","159° 47' 7"" W",NAN,Harbor,Small,-21.203611111111112,-159.78527777777776
Golfito,Puerto Golfito,Autoridad Port Golfito,GolfitoCosta Rica,506 775 0097,506 775 0097,NAN,NAN,NAN,"8° 38' 16"" N","83° 10' 0"" W",CRGLF,"Pier, Jetty or Wharf",Small,8.637777777777778,-83.16666666666667
Moin,Puerto Moin,Junta de la Administracion Portuaria y de Desarrollo Economico de la Vertiente Atlantica (JAPDEVA),P.O. Box 1320-7300Puerto LimonCosta Rica,506-795-4747,506-795-0728,NAN,NAN,www.japdeva.go.cr,"10° 0' 21"" N","83° 4' 40"" W",CRMOB,Harbor,Small,10.005833333333333,-83.07777777777777
Puntarenas,Puerto Puntarenas,Puntarenas Port Authority,PuntarenasCosta Rica,506 225687,NAN,NAN,NAN,NAN,"9° 58' 54"" N","84° 48' 24"" W",CRPAS,Harbor,Small,9.981666666666667,-84.80666666666666
Quepos,Puerto Quepos,Quepos Port Authority,QueposCosta Rica,506 225687,NAN,NAN,NAN,NAN,"9° 25' 29"" N","84° 10' 15"" W",CRQPS,"Pier, Jetty or Wharf",Small,9.424722222222222,-84.17083333333333
Abidjan,Espoir Terminal,NAN,AbidjanCote D'Ivoire,NAN,NAN,NAN,NAN,NAN,"5° 1' 59"" N","4° 27' 0"" W",NAN,Off-Shore Terminal,Very Small,5.033055555555555,-4.45
Abidjan,Port Bouet Tanker Terminal,Port Autonome D'Abidjan,AbidjanCote D'Ivoire,21 23 80 00,21 24 80 80,NAN,	info@paa-ci.org,www.paa-ci.org,"5° 13' 59"" N","3° 58' 0"" W",CIPBT,Off-Shore Terminal,Very Small,5.233055555555556,-3.966666666666667
San Pedro,Port of San Pedro,NAN,San PedroCote D'Ivoire,NAN,NAN,NAN,NAN,NAN,"4° 44' 32"" N","6° 36' 57"" W",CISPY,Harbor,Small,4.742222222222222,-6.615833333333333
Dubrovnik,Port of Dubrovnik,Dubrovnik Port Authority,"Obala Pape Ivana Pavla II. 1,Dubrovnik 20000Croatia",385 20 313-333,385 20 418-551,NAN,padubrovnik@portdubrovnik.hr,www.portdubrovnik.hr,"42° 39' 36"" N","18° 4' 55"" E",HRDBV,Seaport,Small,42.66,18.081944444444446
Ploce,Port of Ploce,Port of Ploce Authority,Trg Kralja Tomislava 21Ploce 20 340Croatia,385 20 603 281,385 20 670 271,NAN,lucka-uprava-ploce1@du.t-com.hr,www.port-authority-ploce.hr,"43° 2' 34"" N","17° 25' 48"" E",HRPLE,Seaport,Small,43.04277777777778,17.43
Sibenik,Port of Sibenik,Port Authority of Sibenik,Vladimira Nazora 53Sibenik 22000Croatia,385 22 218 001,385 22 200 362,NAN,info@portauthority-sibenik.hr,www.portauthority-sibenik.hr,"43° 43' 35"" N","15° 53' 47"" E",HRSIB,Seaport,Small,43.72638888888889,15.896388888888888
Bakar,Port of Bakar,NAN,BakarCroatia,NAN,NAN,NAN,NAN,NAN,"45° 17' 59"" N","14° 32' 42"" E",NAN,Seaport,Small,45.29972222222222,14.545
Banjole,Port of Banjole,Port Authority of Pula,Kandlerova 42Pula 52 100Croatia,385 52 383 160,385 52 383 162,NAN,info@luckauprava-pula.hr,www.luckauprava-pula.hr,"44° 49' 16"" N","13° 51' 59"" E",NAN,Harbor,Small,44.821111111111115,13.866388888888888
Brijuni,Port of Brijuni,Port Authority of Pula,Kandlerova 42Pula 52 100Croatia,385 52 383 160,385 52 383 160,NAN,info@luckauprava-pula.hr,www.luckauprava-pula.hr,"44° 55' 3"" N","13° 46' 8"" E",NAN,Harbor,Small,44.9175,13.76888888888889
Dubrovnik,Port of Dubrovnik,Dubrovnik Port Authority,"Obala Pape Ivana Pavla II. 1,Dubrovnik 20000Croatia",385 20 313-333,385 20 418-551,NAN,padubrovnik@portdubrovnik.hr,www.portdubrovnik.hr,"42° 39' 36"" N","18° 4' 55"" E",HRDBV,Seaport,Small,42.66,18.081944444444446
Dugi Rat,Port of Dugi Rat,Dugi Rat Port Authority,Lucka IspostavaDugi RatCroatia,385 21 861025,NAN,NAN,NAN,NAN,"43° 26' 31"" N","16° 38' 19"" E",HRDUR,Harbor,Small,43.44194444444444,16.63861111111111
Fazana,Port of Fazana,Port Authority of Pula,Kandlerova 42Pula 52 100Croatia,385 52 383 160,385 52 383 162,NAN,info@luckauprava-pula.hr,www.luckauprava-pula.hr,"44° 55' 39"" N","13° 48' 6"" E",HRFNA,Harbor,Small,44.927499999999995,13.801666666666668
Gazenica,Port of Gazenica,NAN,GazenicaCroatia,NAN,NAN,NAN,NAN,NAN,"44° 5' 42"" N","15° 15' 27"" E",NAN,Seaport,Small,44.095,15.2575
Hvar,Port of Hvar,Hvar Port Authority,Hvar 21 450Croatia,385 21 741007,385 21 742099,NAN,NAN,NAN,"43° 10' 8"" N","16° 26' 27"" E",HRHVA,Harbor,Small,43.16888888888889,16.440833333333334
Korcula,Port of Korcula,Korcula Port Authority,Lucka KapetanijaKorcula 20 270Croatia,385 20 711178,NAN,NAN,NAN,NAN,"42° 57' 36"" N","17° 8' 10"" E",HRKOR,Harbor,Small,42.96,17.13611111111111
Kraljevica,Port of Kraljevica,NAN,KraljevicaCroatia,NAN,NAN,NAN,NAN,NAN,"45° 17' 26"" N","14° 33' 6"" E",NAN,Seaport,Medium,45.29055555555556,14.551666666666668
Krnica,Port of Krnica,Port Authority of Pula,Kandlerova 42Pula 52 100Croatia,385 52 383 160,385 52 383 162,NAN,info@luckauprava-pula.hr,www.luckauprava-pula.hr,"44° 57' 10"" N","14° 2' 8"" E",NAN,Marina,Small,44.95277777777778,14.035555555555556
Kuje,Port of Kuje,Port Authority of Pula,Kandlerova 42Pula 52 100Croatia,385 52 383 160,385 52 383 162,NAN,info@luckauprava-pula.hr,www.luckauprava-pula.hr,"44° 49' 10"" N","13° 58' 29"" E",NAN,Marina,Small,44.81944444444445,13.974722222222223
Luka Umag,Luka Umag Harbor,NAN,Luka UmagCroatia,NAN,NAN,NAN,NAN,NAN,"45° 26' 4"" N","13° 31' 6"" E",NAN,Harbor,Small,45.43444444444444,13.518333333333334
Mali Losinj,Port of Mali Losinj,NAN,Mali LosinjCroatia,NAN,NAN,NAN,NAN,NAN,"44° 32' 18"" N","14° 27' 43"" E",NAN,Harbor,Small,44.538333333333334,14.461944444444443
Maslenica,Port of Maslenica,NAN,MaslenicaCroatia,NAN,NAN,NAN,NAN,NAN,"44° 13' 11"" N","15° 32' 26"" E",HRMAS,"Pier, Jetty or Wharf",Small,44.219722222222224,15.540555555555555
Medulin,Port of Medulin,Port Authority of Pula,Kandlerova 42Pula 52 100Croatia,385 52 383 160,385 52 383 162,NAN,info@luckauprava-pula.hr,www.luckauprava-pula.hr,"44° 49' 2"" N","13° 55' 53"" E",NAN,Harbor,Small,44.81722222222223,13.931388888888888
Metkovic,Port of Metkovic,NAN,MetkovicCroatia,NAN,NAN,NAN,NAN,NAN,"43° 3' 17"" N","17° 38' 59"" E",HRMET,River Port,Very Small,43.05472222222222,17.649722222222223
Novigrad,Novigrad Habor,NAN,NovigradCroatia,NAN,NAN,NAN,NAN,NAN,"45° 19' 8"" N","13° 33' 40"" E",NAN,Harbor,Small,45.31888888888889,13.561111111111112
Omis,Port of Omis,NAN,OmisCroatia,NAN,NAN,NAN,NAN,NAN,"43° 26' 35"" N","16° 41' 26"" E",NAN,Harbor,Small,43.44305555555555,16.690555555555555
Peroj,Port of Peroj,Port Authority of Pula,Kandlerova 42Pula 52 100Croatia,385 52 383 160,385 52 383 162,NAN,info@luckauprava-pula.hr,www.luckauprava-pula.hr,"44° 57' 20"" N","13° 47' 4"" E",NAN,Marina,Small,44.955555555555556,13.784444444444444
Ploce,Port of Ploce,Port of Ploce Authority,Trg Kralja Tomislava 21Ploce 20 340Croatia,385 20 603 281,385 20 670 271,NAN,lucka-uprava-ploce1@du.t-com.hr,www.port-authority-ploce.hr,"43° 2' 34"" N","17° 25' 48"" E",HRPLE,Seaport,Small,43.04277777777778,17.43
Plomin,Port of Plomin,NAN,PlominCroatia,NAN,NAN,NAN,NAN,NAN,"45° 7' 44"" N","14° 10' 58"" E",HRPLM,"Pier, Jetty or Wharf",Very Small,45.12888888888889,14.182777777777778
Porec,Porec Harbor,NAN,PorecCroatia,NAN,NAN,NAN,NAN,NAN,"45° 13' 31"" N","13° 35' 31"" E",NAN,Harbor,Small,45.22527777777778,13.591944444444445
Pula,Port of Pula,Port Authority of Pula,Kandlerova 42Pula 52 100Croatia,385 52 383 160,385 52 383 162,NAN,info@luckauprava-pula.hr,www.luckauprava-pula.hr,"44° 52' 18"" N","13° 50' 8"" E",HRPUY,Seaport,Small,44.87166666666667,13.835555555555556
Rabac,Port of Rabac,Lucka Kapetanija Pula,Ispostava - RabacRabac 52 221Croatia,385 52 872085,385 52 872085,NAN,NAN,NAN,"45° 4' 40"" N","14° 9' 26"" E",HRRBC,Harbor,Small,45.07777777777778,14.157222222222222
Rasa,Port of Rasa,NAN,52224 TrgetRasaCroatia,875127,NAN,NAN,NAN,www.jadroagent.hr/rasa.htm,"45° 1' 32"" N","14° 3' 10"" E",HRRAS,"Pier, Jetty or Wharf",Very Small,45.025555555555556,14.052777777777779
Rovinj,Port of Rovinj,NAN,RovinjCroatia,NAN,NAN,NAN,NAN,NAN,"45° 4' 50"" N","13° 38' 9"" E",HRROV,Harbor,Small,45.080555555555556,13.635833333333332
Senj,Port of Senj,NAN,SenjCroatia,NAN,NAN,NAN,NAN,NAN,"44° 59' 28"" N","14° 53' 58"" E",HRSEN,Harbor,Small,44.99111111111111,14.899444444444445
Sibenik,Port of Sibenik,Port Authority of Sibenik,Vladimira Nazora 53Sibenik 22000Croatia,385 22 218 001,385 22 200 362,NAN,info@portauthority-sibenik.hr,www.portauthority-sibenik.hr,"43° 43' 35"" N","15° 53' 47"" E",HRSIB,Seaport,Small,43.72638888888889,15.896388888888888
Zadar,Port of Zadar,Port of Zadar Authority,Liburnska obala 6/1Zadar 23000Croatia,385 23 201 201,385 23 201 222,NAN,lucka.uprava.zadar@zd.htnet.hr,www.port-authority-zadar.hr,"44° 7' 3"" N","15° 13' 15"" E",HRZAD,Seaport,Small,44.1175,15.220833333333333
Manzanillo,Port of Manzanillo,Empresa Terminales Mambisas de La Habana,ManzanilloCuba,NAN,NAN,NAN,NAN,NAN,"20° 20' 15"" N","77° 8' 1"" W",CUMZO,"Pier, Jetty or Wharf",Small,20.3375,-77.13361111111112
Mariel,Port of Mariel,Empresa Terminales Mambisas de La Habana,MarielCuba,NAN,NAN,NAN,NAN,NAN,"23° 0' 23"" N","82° 45' 34"" W",CUMAR,Harbor,Small,23.00638888888889,-82.75944444444444
Matanzas,Port of Matanzas,Empresa Terminales Mambisas de La Habana,MatanzasCuba,NAN,NAN,NAN,NAN,NAN,"23° 3' 5"" N","81° 32' 21"" W",CUQMA,Harbor,Small,23.05138888888889,-81.53916666666666
Santa Lucia,Port of Santa Lucia,Empresa Terminales Mambisas de La Habana,Santa LuciaCuba,NAN,NAN,NAN,NAN,NAN,"22° 40' 21"" N","83° 58' 3"" W",NAN,"Pier, Jetty or Wharf",Very Small,22.6725,-83.9675
Santiago de Cuba,Port of Santiago de Cuba,Empresa Terminales Mambisas del Oriente,Santiago de CubaCuba,NAN,NAN,NAN,NAN,NAN,"20° 0' 6"" N","75° 51' 38"" W",CUSCU,Seaport,Large,20.001666666666665,-75.86055555555555
Antilla,Port of Antilla,Empresa Terminales Mambisas de La Habana,AntillaCuba,NAN,NAN,NAN,NAN,NAN,"20° 49' 26"" N","75° 44' 36"" W",CUANT,River Port,Small,20.823888888888888,-75.74333333333334
Bahia Honda,Port of Bahia Honda,Empresa Terminales Mambisas de La Habana,Bahia HondaCuba,NAN,NAN,NAN,NAN,NAN,"22° 58' 14"" N","83° 10' 3"" W",CUBHO,"Pier, Jetty or Wharf",Very Small,22.970555555555553,-83.1675
Banes,Port of Banes,Empresa Terminales Mambisas de La Habana,BanesCuba,NAN,NAN,NAN,NAN,NAN,"20° 55' 9"" N","75° 42' 19"" W",CUBAN,"Pier, Jetty or Wharf",Very Small,20.91916666666667,-75.70527777777778
Baracoa,Port of Baracoa,Empresa Terminales Mambisas de La Habana,BaracoaCuba,NAN,NAN,NAN,NAN,NAN,"20° 21' 11"" N","74° 30' 13"" W",CUBCA,Harbor,Small,20.353055555555557,-74.50361111111111
Boca Grande,Port of Boca Grande,Empresa Terminales Mambisas de La Habana,Boca GrandeCuba,NAN,NAN,NAN,NAN,NAN,"21° 31' 59"" N","78° 39' 4"" W",CUBOG,"Pier, Jetty or Wharf",Very Small,21.533055555555556,-78.65111111111112
Cabanas,Port of Cabanas,Empresa Terminales Mambisas de La Habana,CabanasCuba,NAN,NAN,NAN,NAN,NAN,"22° 59' 2"" N","83° 0' 40"" W",CUCAB,"Pier, Jetty or Wharf",Very Small,22.983888888888888,-83.0111111111111
Cardenas,Port of Cardenas,Empresa Terminales Mambisas de La Habana,CardenasCuba,NAN,NAN,NAN,NAN,NAN,"23° 2' 55"" N","81° 11' 45"" W",CUCAR,"Pier, Jetty or Wharf",Small,23.048611111111114,-81.19583333333334
Casilda,Port of Casilda,Empresa Terminales Mambisas de La Habana,CasildaCuba,NAN,NAN,NAN,NAN,NAN,"21° 45' 12"" N","79° 59' 29"" W",CUCAS,"Pier, Jetty or Wharf",Very Small,21.753333333333334,-79.99138888888889
Cienfuegos,Port of Cienfuegos,Empresa Terminales Mambisas de La Habana,CienfuegosCuba,NAN,NAN,NAN,NAN,NAN,"22° 8' 24"" N","80° 27' 21"" W",CUCFG,Seaport,Medium,22.14,-80.45583333333333
Felton,Port of Felton,Empresa Terminales Mambisas de La Habana,FeltonCuba,NAN,NAN,NAN,NAN,NAN,"20° 44' 20"" N","75° 35' 43"" W",NAN,"Pier, Jetty or Wharf",Very Small,20.73888888888889,-75.59527777777777
Guantanamo,Port of Guantanamo,Empresa Terminales Mambisas de La Habana,GuantanamoCuba,NAN,NAN,NAN,NAN,NAN,"19° 59' 32"" N","75° 9' 2"" W",NAN,"Pier, Jetty or Wharf",Small,19.992222222222225,-75.15055555555556
Guayabal,Port of Guayabal,Empresa Terminales Mambisas de La Habana,GuayabalCuba,NAN,NAN,NAN,NAN,NAN,"20° 41' 11"" N","77° 37' 3"" W",CUGYB,"Pier, Jetty or Wharf",Very Small,20.68638888888889,-77.61749999999999
Isabela de Sagua,Port of Isabela de Sagua,Empresa Terminales Mambisas de La Habana,Isabela de SaguaCuba,NAN,NAN,NAN,NAN,NAN,"22° 56' 25"" N","80° 0' 43"" W",CUIDS,"Pier, Jetty or Wharf",Very Small,22.940277777777776,-80.01194444444444
Jucaro,Port of Jucaro,Empresa Terminales Mambisas de La Habana,JucaroCuba,NAN,NAN,NAN,NAN,NAN,"21° 37' 13"" N","78° 51' 11"" W",CUJUC,"Pier, Jetty or Wharf",Very Small,21.62027777777778,-78.85305555555556
Macabi,Port of Macabi,Empresa Terminales Mambisas de La Habana,MacabiCuba,NAN,NAN,NAN,NAN,NAN,"20° 54' 11"" N","75° 43' 26"" W",NAN,"Pier, Jetty or Wharf",Very Small,20.903055555555554,-75.7238888888889
